chroma_stft,chroma_cqt,chroma_cens,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3
0.12712666,0.15665816,0.12373036,0.039347913,2161.0834165772885,1379.7989463915615,21.827744214323538,1.2360424e-05,2145.617603550296,0.08708452755177515,-592.6319,101.363655,1.971847
0.61087614,0.4576893,0.24097511,0.024571067,1619.9584069318755,3429.5204162099253,16.03998859195812,0.00047009156,2837.0711994077,0.01347087472235933,-469.9523,111.89292,39.148907
0.37679484,0.5185756,0.24894172,0.004768819,2799.217479575404,2723.204365554429,18.75746378804528,0.00086957053,5642.751479289941,0.08731374044625247,-509.03772,164.31265,-78.17419
0.3268236,0.46079957,0.2526779,0.01734228,2495.912580818742,2285.9591519129644,20.593245164825696,0.00033007815,4485.493274925962,0.08141378871544916,-403.21616,158.08434,-49.980904
0.4023244,0.5993578,0.27271685,0.010954762,3299.20291528824,2135.656453431616,18.594816167423772,0.00036410725,5532.225208044383,0.12209536992891817,-406.46902,153.49583,-152.96461
0.46794412,0.47458765,0.25303793,0.00516914,2540.821309994364,4122.084551821097,15.672158694456673,0.0034502612,5040.742360088365,0.036814536542709865,-578.7453,127.22271,31.233171
0.4341361,0.6500963,0.27866533,0.0036867934,4007.4922304161437,2862.718892514075,17.50210642775477,0.0023451115,7073.497655478776,0.14568230194965448,-489.88266,111.90342,-100.36477
0.42830047,0.50917464,0.26773712,0.011815321,2378.9739843084676,2241.0819564079634,18.754679005313623,0.00035445177,4033.2397581441264,0.08005065014190524,-424.7487,180.0772,-75.24621
0.41528887,0.54371405,0.26494145,0.023635589,2707.935610758468,2335.0026646799133,18.271329351787568,0.0005592807,4715.055836623889,0.08168612722112537,-377.3684,148.78902,-109.29544
0.34029946,0.40570274,0.23512243,0.03655715,2995.436391758534,2528.7601431997123,23.323084349490237,0.00026505222,5405.325443786982,0.09059976732001973,-318.0865,130.91783,-80.50904
0.78504044,0.5815103,0.2636232,0.029950017,1573.3473574924874,3063.907692256016,17.46310426590205,0.00018024204,3862.8651856360316,2.8869772193722286e-05,-406.27228,113.92843,9.126044
0.8130444,0.71775484,0.28246897,0.029605936,1473.4909952695525,2804.4968102168014,18.839572810809806,0.00013180479,3295.6353052812015,6.377030446494163e-07,-426.70834,111.29731,-17.17518
0.75034446,0.6960216,0.28166306,0.029880716,1845.028939109581,3115.2702927505497,18.844918217843684,0.00020990042,4490.339220143382,1.024545375065571e-06,-388.40445,110.552284,-19.636982
0.91827345,0.60857695,0.2701962,0.02953098,944.556082379997,2500.3533015150156,17.51545147519194,2.7785487e-05,1321.8739305270362,0.0,-512.187,89.49012,4.7079477
0.8577035,0.59406,0.2767213,0.029707251,1126.158687901605,2643.1724635591513,18.13434200480494,5.294284e-05,2126.2097503617947,6.281154526451198e-07,-463.84128,115.367455,10.604464
0.7904596,0.6193212,0.2704904,0.029788759,2154.1422872130925,3361.853934859075,17.329750434770705,0.0007128971,5713.837135744021,0.0021680309260468534,-374.4874,99.54521,-1.1659876
0.8747565,0.5705374,0.2611931,0.029763274,817.1114633097642,2190.83842623592,17.814768792885854,3.1952233e-05,1150.3893624757595,0.00027957021149806075,-484.90826,116.11992,4.486272
0.77557945,0.72378707,0.28132486,0.03140282,2149.642163823204,3383.3121837726185,17.316617356041167,0.001281402,5695.884329253659,0.008585055383069355,-359.1236,102.85164,3.787962
0.8643627,0.5359614,0.25529918,0.030492712,619.7079194040049,1949.3346948239598,17.978588879945406,1.6244892e-05,541.0611633703168,3.580258080077183e-05,-507.10742,128.18398,14.826102
0.6446735,0.65464693,0.27653176,0.03580033,950.0948013944234,2215.2677012304457,17.130182126704312,0.00012046916,1641.7566230861862,0.005310951074101153,-397.92993,147.47862,21.177765
0.8239032,0.6936697,0.27933434,0.02878679,1301.6394691343962,2735.449910845707,17.8889330342137,8.1421436e-05,2980.903636813459,9.664151410192975e-07,-442.12848,112.86845,-0.18221572
0.7927356,0.5542045,0.25909823,0.032037724,910.261971453012,2270.7895879103553,17.68112193189169,5.4850672e-05,1528.38389038492,0.001771324734179471,-450.79803,118.070854,8.104792
